FOTOTREE NAME                                      | LATITUDE     | LONGITUDE    | LOCATION NAME
Boulevard Tuminting                                | 1.5094262    | 124.84375    | 
Boyolali                                           | -7.4317775   | 110.688354   | 
BPD DIY Malioboro Run 2022                         | -7.7905507   | 110.366905   | 
BPR DRS Fun Run 2024                               | -7.501607    | 110.22253    | 
BPR PEDUNGAN MERDEKA RUN                           | -8.710301    | 115.21577    | 
BPR Run 2025                                       | -7.771348    | 110.37755    | 
Braga                                              | -6.9170933   | 107.60918    | 
Braga Bandung                                      | -6.918417    | 107.609566   | 
Braja Fun Run 2025                                 | -6.805226    | 107.15396    | 
Branjangan Playon                                  | -7.3022823   | 112.72415    | 
Brawijaya 5K Fun Run 2024                          | -6.223367    | 106.80626    | 
Brebes                                             | -6.9591794   | 108.90268    | 
Brebes Healthy Fun Run 2025                        | -6.878172    | 109.04693    | 
BREIG Social Run 2025                              | -8.638991    | 115.13758    | 
Bright Night Fun Run 5K                            | -7.56971     | 110.827324   | 
Brimo x Laswee Fun Run 2023                        | -6.9170704   | 107.630936   | 
Bromo Marathon 2025                                | -7.894812    | 112.89202    | 
Bromo Tengger Trail Run 2025                       | -7.892099    | 112.9114     | 
Bromo Traveling                                    | -7.914982    | 112.948395   | 
Bromokom 2024                                      | -7.894338    | 112.901375   | 
